kernel,config,num_tensors,total_params,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_adam_sm89,single_ln_weight,1,768,0.005098,0.005120,0.000673,0.004096,0.006144,1.958446,4.218192
pytorch_fused_adam,single_ln_weight,1,768,0.007212,0.007168,0.000719,0.006144,0.009216,1.384452,2.981896
owntensor_adam_sm89,single_ln_bias,1,768,0.004594,0.004096,0.000529,0.004096,0.006144,2.173154,4.680640
pytorch_fused_adam,single_ln_bias,1,768,0.006889,0.007168,0.000495,0.006144,0.008192,1.449209,3.121372
owntensor_adam_sm89,single_cattn_bias,1,2304,0.005675,0.006112,0.000567,0.005120,0.007168,5.278004,11.368008
pytorch_fused_adam,single_cattn_bias,1,2304,0.008354,0.008192,0.000672,0.007168,0.010240,3.585381,7.722359
owntensor_adam_sm89,single_cfc_bias,1,3072,0.005489,0.005120,0.000484,0.005120,0.006144,7.275278,15.669829
pytorch_fused_adam,single_cfc_bias,1,3072,0.008256,0.008192,0.000318,0.007168,0.009216,4.837395,10.419005
owntensor_adam_sm89,single_cproj_weight,1,589824,0.035465,0.035840,0.000655,0.033792,0.036864,216.207101,465.676834
pytorch_fused_adam,single_cproj_weight,1,589824,0.056721,0.056320,0.000721,0.055296,0.059392,135.183103,291.163608
owntensor_adam_sm89,single_cattn_weight,1,1769472,0.073298,0.073712,0.001115,0.069632,0.075776,313.831964,675.945769
pytorch_fused_adam,single_cattn_weight,1,1769472,0.081884,0.081920,0.003983,0.078848,0.119808,280.922748,605.064381
owntensor_adam_sm89,single_cfc_weight,1,2359296,0.087825,0.088064,0.001169,0.084992,0.091136,349.228151,752.183710
pytorch_fused_adam,single_cfc_weight,1,2359296,0.100712,0.100352,0.001396,0.097280,0.104448,304.541141,655.934766
owntensor_adam_sm89,single_wpe,1,786432,0.038134,0.037888,0.000596,0.036864,0.039936,268.096337,577.438264
pytorch_fused_adam,single_wpe,1,786432,0.058480,0.058368,0.000531,0.057344,0.059392,174.821460,376.538530
owntensor_adam_sm89,single_wte,1,38633472,1.403495,1.406464,0.013527,1.366016,1.427456,357.845966,770.745158
pytorch_fused_adam,single_wte,1,38633472,1.415178,1.418240,0.017132,1.368032,1.446912,354.891863,764.382474
owntensor_adam_sm89,gpt2_one_block,12,7087872,0.267163,0.267264,0.002539,0.261120,0.274432,344.891473,742.843172
pytorch_fused_adam,gpt2_one_block,12,7087872,0.272160,0.272384,0.002691,0.265216,0.277568,338.559073,729.204157
owntensor_adam_sm89,gpt2_full_124M,148,124475904,4.469984,4.466688,0.040829,4.379648,4.553728,362.011789,779.717699
pytorch_fused_adam,gpt2_full_124M,148,124475904,4.521756,4.519936,0.046013,4.428800,4.645888,357.866913,770.790274
