kernel,B,nh,T,hd,is_causal,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_bwd_sm89,1,12,512,64,0,0.150610,0.150528,0.001334,0.147456,0.154624,13367.438452,83.546490
pytorch_sdpa_bwd,1,12,512,64,0,0.174061,0.174080,0.001998,0.171008,0.187424,11566.468575,72.290429
owntensor_bwd_sm89,1,12,512,64,1,0.080486,0.080896,0.001419,0.076800,0.083968,12506.924346,156.336554
pytorch_sdpa_bwd,1,12,512,64,1,0.162934,0.162816,0.000859,0.160768,0.164864,6178.158069,77.226976
owntensor_bwd_sm89,1,12,1024,64,0,0.409630,0.409600,0.002370,0.403456,0.415744,19659.337192,61.435429
pytorch_sdpa_bwd,1,12,1024,64,0,0.504728,0.504832,0.001475,0.501760,0.508928,15955.250097,49.860157
owntensor_bwd_sm89,1,12,1024,64,1,0.193383,0.193536,0.001830,0.189440,0.196608,20821.546980,130.134669
pytorch_sdpa_bwd,1,12,1024,64,1,0.342066,0.342016,0.002173,0.335872,0.346112,11771.227978,73.570175
owntensor_bwd_sm89,4,12,1024,64,0,1.431593,1.426944,0.020589,1.401856,1.475584,22500.981769,70.315568
pytorch_sdpa_bwd,4,12,1024,64,0,1.631332,1.658880,0.058592,1.511424,1.689600,19745.984439,61.706201
owntensor_bwd_sm89,4,12,1024,64,1,0.651777,0.662528,0.021158,0.613376,0.670720,24711.109067,154.444432
pytorch_sdpa_bwd,4,12,1024,64,1,1.034292,1.037312,0.017090,0.975872,1.072128,15572.121030,97.325756
owntensor_bwd_sm89,16,12,1024,64,0,5.679199,5.680128,0.012197,5.647360,5.711872,22687.886925,70.899647
pytorch_sdpa_bwd,16,12,1024,64,0,6.549770,6.528000,0.056506,6.515712,6.813696,19672.297084,61.475928
owntensor_bwd_sm89,16,12,1024,64,1,2.632613,2.660352,0.089148,2.375680,2.684928,24471.700418,152.948128
pytorch_sdpa_bwd,16,12,1024,64,1,4.026224,4.029440,0.023640,3.983360,4.078592,16001.222798,100.007642
owntensor_bwd_sm89,1,16,2048,64,0,1.758668,1.747968,0.034551,1.699840,1.843200,24421.703505,38.158912
pytorch_sdpa_bwd,1,16,2048,64,0,2.093659,2.093568,0.026158,2.051072,2.132992,20514.164310,32.053382
owntensor_bwd_sm89,1,16,2048,64,1,0.809225,0.818176,0.022980,0.755712,0.836608,26537.520223,82.929751
pytorch_sdpa_bwd,1,16,2048,64,1,1.256365,1.258496,0.013175,1.219584,1.285120,17092.833276,53.415104
owntensor_bwd_sm89,8,16,1024,64,0,3.799347,3.799552,0.012992,3.773440,3.832832,22608.976659,70.653052
pytorch_sdpa_bwd,8,16,1024,64,0,4.374097,4.375552,0.008513,4.343808,4.387840,19638.187974,61.369337
owntensor_bwd_sm89,8,16,1024,64,1,1.786112,1.785344,0.012919,1.757184,1.812480,24046.457076,150.290357
pytorch_sdpa_bwd,8,16,1024,64,1,2.680473,2.675200,0.017605,2.652160,2.726912,16023.168870,100.144805
owntensor_bwd_sm89,1,32,2048,128,0,8.404682,8.404992,0.005524,8.389632,8.416256,20440.831501,31.938799
pytorch_sdpa_bwd,1,32,2048,128,0,7.845141,7.768064,0.176550,7.751680,8.396800,21898.738759,34.216779
owntensor_bwd_sm89,1,32,2048,128,1,4.137609,4.136448,0.006176,4.120576,4.159488,20760.626661,64.876958
pytorch_sdpa_bwd,1,32,2048,128,1,4.501557,4.502544,0.025948,4.450304,4.563968,19082.141654,59.631693
owntensor_bwd_sm89,4,32,2048,128,0,32.771164,32.796673,0.051822,32.650242,32.836609,20969.495274,32.764836
pytorch_sdpa_bwd,4,32,2048,128,0,32.780060,32.844288,0.810093,31.002625,35.061760,20963.804558,32.755945
owntensor_bwd_sm89,4,32,2048,128,1,16.345375,16.309248,0.088905,16.237568,16.533504,21021.076751,65.690865
pytorch_sdpa_bwd,4,32,2048,128,1,18.905027,18.846720,0.583275,17.924095,19.746817,18174.921231,56.796629
