kernel,B,T,hidden,numel,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_gelu_bwd_sm89,1,1024,3072,3145728,0.046809,0.047104,0.001160,0.045056,0.050176,1075.250244,806.437683
pytorch_gelu_bwd,1,1024,3072,3145728,0.048549,0.048128,0.001329,0.046080,0.051200,1036.723540,777.542655
owntensor_gelu_bwd_sm89,4,1024,3072,12582912,0.185253,0.184320,0.002501,0.180224,0.193536,1086.766706,815.075029
pytorch_gelu_bwd,4,1024,3072,12582912,0.185025,0.185344,0.001577,0.181248,0.189440,1088.101877,816.076408
owntensor_gelu_bwd_sm89,16,1024,3072,50331648,0.751012,0.749568,0.006560,0.740352,0.769024,1072.294646,804.220985
pytorch_gelu_bwd,16,1024,3072,50331648,0.743110,0.742912,0.003146,0.738304,0.759808,1083.698084,812.773563
owntensor_gelu_bwd_sm89,32,1024,3072,100663296,1.504341,1.503744,0.007357,1.490944,1.530880,1070.643632,802.982724
pytorch_gelu_bwd,32,1024,3072,100663296,1.478974,1.479168,0.004395,1.465344,1.490944,1089.006455,816.754842
owntensor_gelu_bwd_sm89,1,2048,3072,6291456,0.094556,0.094208,0.001176,0.092160,0.098304,1064.587643,798.440732
pytorch_gelu_bwd,1,2048,3072,6291456,0.098163,0.098304,0.001240,0.095232,0.101376,1025.472326,769.104244
owntensor_gelu_bwd_sm89,16,2048,3072,100663296,1.502671,1.503232,0.006677,1.485824,1.530880,1071.832904,803.874678
pytorch_gelu_bwd,16,2048,3072,100663296,1.479283,1.478656,0.004200,1.471488,1.491968,1088.779424,816.584568
owntensor_gelu_bwd_sm89,16,1024,4096,67108864,1.001974,1.001472,0.006983,0.988160,1.027072,1071.626830,803.720123
pytorch_gelu_bwd,16,1024,4096,67108864,0.988787,0.988160,0.003461,0.979968,1.000448,1085.918492,814.438869
owntensor_gelu_bwd_sm89,16,1024,16384,268435456,3.906109,3.906560,0.011800,3.877888,3.938304,1099.551425,824.663569
pytorch_gelu_bwd,16,1024,16384,268435456,3.931279,3.931136,0.006329,3.917824,3.947520,1092.511459,819.383594
