kernel,batch_size,vocab_size,avg_ms,median_ms,std_dev_ms,min_ms,max_ms,tflops,bandwidth_gb_s
owntensor_ce_fwd_save_stats,1024,50304,0.321580,0.321536,0.000622,0.320512,0.322560,640.726731,640.726731
pytorch_ce_fwd,1024,50304,0.539454,0.539648,0.003529,0.530432,0.547840,381.951700,381.951700
owntensor_ce_fwd_save_stats,4096,50304,1.013259,1.012784,-nan,1.011776,1.015808,813.395590,813.395590
pytorch_ce_fwd,4096,50304,2.069665,2.068480,0.011027,2.053120,2.117632,398.219400,398.219400
owntensor_ce_fwd_save_stats,8192,50304,1.939387,1.938512,0.004172,1.937408,1.969152,849.939493,849.939493
pytorch_ce_fwd,8192,50304,4.093780,4.092928,0.006329,4.074496,4.122624,402.650229,402.650229
owntensor_ce_fwd_save_stats,16384,50304,3.784245,3.783776,0.004143,3.782656,3.787808,871.170585,871.170585
pytorch_ce_fwd,16384,50304,8.151733,8.147456,0.023600,8.121408,8.329216,404.419868,404.419868
owntensor_ce_fwd_save_stats,32768,50304,7.478859,7.478272,-nan,7.476224,7.483392,881.611154,881.611154
pytorch_ce_fwd,32768,50304,16.278866,16.275455,0.021395,16.244736,16.397312,405.031036,405.031036
owntensor_ce_fwd_save_stats,16384,32000,2.440049,2.440192,0.001544,2.439168,2.442240,859.471372,859.471372
pytorch_ce_fwd,16384,32000,5.135852,5.135872,0.007176,5.120000,5.158912,408.335765,408.335765
owntensor_ce_fwd_save_stats,16384,128256,9.506896,9.506816,-nan,9.504768,9.513984,884.135600,884.135600
pytorch_ce_fwd,16384,128256,32.118744,32.117760,0.061516,31.868929,32.368641,261.697196,261.697196
