Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.1,7115081,400,17787.7,6496.0,4096,85345,25146.8,"void bgemm_sm103_bf16_tn_cluster_kernel<(int)128, (int)128, (int)64, (int)8>(const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, float, float, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, int)"
31.1,5126429,104,49292.6,48832.0,14944,85345,33855.3,nvjet_sm103_tst_128x256_64x6_2x2f_2cta_h_bz_NTT
6.7,1110536,104,10678.2,10480.0,5408,15488,4090.1,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NTT
6.5,1070950,25,42838.0,42016.0,40896,53536,3117.4,nvjet_sm103_tst_128x8_64x12_2x1_v_bz_splitK_NNT
3.0,488865,50,9777.3,10496.0,8160,12960,1336.0,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_NTN
2.4,392577,103,3811.4,3424.0,3200,5408,697.2,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_NTT
2.0,337090,77,4377.8,2720.0,2336,11712,2476.8,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NTT
1.7,283075,75,3774.3,3680.0,2784,4384,255.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.1,181472,78,2326.6,2304.0,1888,3072,232.7,nvjet_sm103_tst_64x32_64x16_2x4_2cta_h_bz_NTT
1.1,175587,25,7023.5,6784.0,6496,10080,827.3,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT
0.7,121729,25,4869.2,4896.0,4384,4992,143.9,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT
0.6,96096,25,3843.8,3776.0,3616,5280,386.1,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align1>(T1::Params)
